source_id,target_id,department
17,26,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
17,29,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
17,44,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
17,55,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
19,26,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
19,29,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
19,44,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
19,55,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
26,29,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
26,44,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
26,55,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
29,44,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
29,55,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
44,55,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
4,12,Departamento de Ingeniería Electrónica y Mecatrónica
4,13,Departamento de Ingeniería Electrónica y Mecatrónica
4,27,Departamento de Ingeniería Electrónica y Mecatrónica
4,39,Departamento de Ingeniería Electrónica y Mecatrónica
4,40,Departamento de Ingeniería Electrónica y Mecatrónica
4,41,Departamento de Ingeniería Electrónica y Mecatrónica
4,54,Departamento de Ingeniería Electrónica y Mecatrónica
4,61,Departamento de Ingeniería Electrónica y Mecatrónica
4,80,Departamento de Ingeniería Electrónica y Mecatrónica
12,13,Departamento de Ingeniería Electrónica y Mecatrónica
12,27,Departamento de Ingeniería Electrónica y Mecatrónica
12,39,Departamento de Ingeniería Electrónica y Mecatrónica
12,40,Departamento de Ingeniería Electrónica y Mecatrónica
12,41,Departamento de Ingeniería Electrónica y Mecatrónica
12,54,Departamento de Ingeniería Electrónica y Mecatrónica
12,61,Departamento de Ingeniería Electrónica y Mecatrónica
12,80,Departamento de Ingeniería Electrónica y Mecatrónica
13,27,Departamento de Ingeniería Electrónica y Mecatrónica
13,39,Departamento de Ingeniería Electrónica y Mecatrónica
13,40,Departamento de Ingeniería Electrónica y Mecatrónica
13,41,Departamento de Ingeniería Electrónica y Mecatrónica
13,54,Departamento de Ingeniería Electrónica y Mecatrónica
13,61,Departamento de Ingeniería Electrónica y Mecatrónica
13,80,Departamento de Ingeniería Electrónica y Mecatrónica
27,39,Departamento de Ingeniería Electrónica y Mecatrónica
27,40,Departamento de Ingeniería Electrónica y Mecatrónica
27,41,Departamento de Ingeniería Electrónica y Mecatrónica
27,54,Departamento de Ingeniería Electrónica y Mecatrónica
27,61,Departamento de Ingeniería Electrónica y Mecatrónica
27,80,Departamento de Ingeniería Electrónica y Mecatrónica
39,40,Departamento de Ingeniería Electrónica y Mecatrónica
39,41,Departamento de Ingeniería Electrónica y Mecatrónica
39,54,Departamento de Ingeniería Electrónica y Mecatrónica
39,61,Departamento de Ingeniería Electrónica y Mecatrónica
39,80,Departamento de Ingeniería Electrónica y Mecatrónica
40,41,Departamento de Ingeniería Electrónica y Mecatrónica
40,54,Departamento de Ingeniería Electrónica y Mecatrónica
40,61,Departamento de Ingeniería Electrónica y Mecatrónica
40,80,Departamento de Ingeniería Electrónica y Mecatrónica
41,54,Departamento de Ingeniería Electrónica y Mecatrónica
41,61,Departamento de Ingeniería Electrónica y Mecatrónica
41,80,Departamento de Ingeniería Electrónica y Mecatrónica
54,61,Departamento de Ingeniería Electrónica y Mecatrónica
54,80,Departamento de Ingeniería Electrónica y Mecatrónica
61,80,Departamento de Ingeniería Electrónica y Mecatrónica
6,14,Departamento de Bioingeniería e Ingeniería Química
6,23,Departamento de Bioingeniería e Ingeniería Química
6,25,Departamento de Bioingeniería e Ingeniería Química
6,57,Departamento de Bioingeniería e Ingeniería Química
6,63,Departamento de Bioingeniería e Ingeniería Química
6,67,Departamento de Bioingeniería e Ingeniería Química
6,68,Departamento de Bioingeniería e Ingeniería Química
6,69,Departamento de Bioingeniería e Ingeniería Química
6,79,Departamento de Bioingeniería e Ingeniería Química
6,83,Departamento de Bioingeniería e Ingeniería Química
14,23,Departamento de Bioingeniería e Ingeniería Química
14,25,Departamento de Bioingeniería e Ingeniería Química
