source_id,target_id,source_name,target_name,relation,key,weight
18,84,Antuané De La Flor Basterrechea,Elba Rosaura Vazques Arrieta,predicted_similarity,w2v_cosine,0.9941
76,50,Aurea Rossy Soriano Vargas,Rensso Victor Hugo Mora Colque,predicted_similarity,w2v_cosine,0.994
4,18,Sergio Aranda Egusquiza,Antuané De La Flor Basterrechea,predicted_similarity,w2v_cosine,0.994
48,84,Giancarlo Marcone Flores,Elba Rosaura Vazques Arrieta,predicted_similarity,w2v_cosine,0.9939
48,4,Giancarlo Marcone Flores,Sergio Aranda Egusquiza,predicted_similarity,w2v_cosine,0.9939
74,70,Yamilet Rosario Serrano Llerena,Heider Sánchez Enriquez,predicted_similarity,w2v_cosine,0.9938
76,69,Aurea Rossy Soriano Vargas,Harry Gustavo Saavedra Espinoza,predicted_similarity,w2v_cosine,0.9937
48,71,Giancarlo Marcone Flores,Nedher Sanchez Ramirez,predicted_similarity,w2v_cosine,0.9937
74,69,Yamilet Rosario Serrano Llerena,Harry Gustavo Saavedra Espinoza,predicted_similarity,w2v_cosine,0.9934
76,12,Aurea Rossy Soriano Vargas,Jhedmar Jhonatan Callupe Luna,predicted_similarity,w2v_cosine,0.9933
74,50,Yamilet Rosario Serrano Llerena,Rensso Victor Hugo Mora Colque,predicted_similarity,w2v_cosine,0.993
16,3,Xyoby Chavez Pacheco,Claudia Antonini Bova,predicted_similarity,w2v_cosine,0.9927
69,70,Harry Gustavo Saavedra Espinoza,Heider Sánchez Enriquez,predicted_similarity,w2v_cosine,0.9921
86,19,Rafael Vera Pomalaza,Jose De La Puente Maldonado,predicted_similarity,w2v_cosine,0.9919
50,70,Rensso Victor Hugo Mora Colque,Heider Sánchez Enriquez,predicted_similarity,w2v_cosine,0.9915
41,76,Elvis Jara Alegria,Aurea Rossy Soriano Vargas,predicted_similarity,w2v_cosine,0.9914
86,84,Rafael Vera Pomalaza,Elba Rosaura Vazques Arrieta,predicted_similarity,w2v_cosine,0.9914
69,12,Harry Gustavo Saavedra Espinoza,Jhedmar Jhonatan Callupe Luna,predicted_similarity,w2v_cosine,0.9913
28,18,José Tomás Gálvez Ghersi,Antuané De La Flor Basterrechea,predicted_similarity,w2v_cosine,0.9912
86,18,Rafael Vera Pomalaza,Antuané De La Flor Basterrechea,predicted_similarity,w2v_cosine,0.9912
20,46,José Andrés De Leo Martínez,Milagros Lunga Calderón,predicted_similarity,w2v_cosine,0.9912
86,42,Rafael Vera Pomalaza,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9911
77,42,Enrique Stiglich Labarthe,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9908
83,23,Julio Ernesto Valdivia Silva,Alberto Donayre Torres,predicted_similarity,w2v_cosine,0.9908
20,84,José Andrés De Leo Martínez,Elba Rosaura Vazques Arrieta,predicted_similarity,w2v_cosine,0.9908
87,19,Eunice Villicaña Ortiz,Jose De La Puente Maldonado,predicted_similarity,w2v_cosine,0.9907
70,41,Heider Sánchez Enriquez,Elvis Jara Alegria,predicted_similarity,w2v_cosine,0.9907
87,18,Eunice Villicaña Ortiz,Antuané De La Flor Basterrechea,predicted_similarity,w2v_cosine,0.9906
77,18,Enrique Stiglich Labarthe,Antuané De La Flor Basterrechea,predicted_similarity,w2v_cosine,0.9906
87,42,Eunice Villicaña Ortiz,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9906
50,12,Rensso Victor Hugo Mora Colque,Jhedmar Jhonatan Callupe Luna,predicted_similarity,w2v_cosine,0.9906
28,46,José Tomás Gálvez Ghersi,Milagros Lunga Calderón,predicted_similarity,w2v_cosine,0.9905
61,48,Oscar Ramos Ponce,Giancarlo Marcone Flores,predicted_similarity,w2v_cosine,0.9904
41,69,Elvis Jara Alegria,Harry Gustavo Saavedra Espinoza,predicted_similarity,w2v_cosine,0.9904
22,42,Manuel Arturo Deza Figueroa,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9904
41,74,Elvis Jara Alegria,Yamilet Rosario Serrano Llerena,predicted_similarity,w2v_cosine,0.9903
28,4,José Tomás Gálvez Ghersi,Sergio Aranda Egusquiza,predicted_similarity,w2v_cosine,0.9903
87,84,Eunice Villicaña Ortiz,Elba Rosaura Vazques Arrieta,predicted_similarity,w2v_cosine,0.9903
