source_id,target_id,source_name,target_name,weight
15,2,Samuel Charca Mamani,Helard Alvarez Sanchez,0.5846999883651733
15,10,Samuel Charca Mamani,Carlos Alberto Benedetty Torres,0.5837000012397766
5,87,Patricia Araujo Pantoja,Eunice Villicaña Ortiz,0.5819000005722046
80,31,Jimmy Tarrillo Olano,Jorge Gonzalez Reaño,0.5817000269889832
62,47,José Ramos Saravia,José Luis Mantari Laureano,0.580299973487854
15,7,Samuel Charca Mamani,Luis Bedriñana Mera,0.5799999833106995
16,50,Xyoby Chavez Pacheco,Rensso Victor Hugo Mora Colque,0.5791000127792358
67,6,Juan Carlos Rodríguez Reyes,Andrés Julián Arias Moreno,0.5763000249862671
5,53,Patricia Araujo Pantoja,Julien Noel,0.5760999917984009
3,74,Claudia Antonini Bova,Yamilet Rosario Serrano Llerena,0.5759999752044678
0,74,José Manuel Aguilar Alfaro,Yamilet Rosario Serrano Llerena,0.5758000016212463
65,3,Jose Renom Andara,Claudia Antonini Bova,0.5740000009536743
79,47,Francisco Tarazona Vásquez,José Luis Mantari Laureano,0.5740000009536743
21,35,Jose Gerardo Deustua Rossel,Yuri Herrera Burstein,0.571399986743927
72,13,Monica C. Santa-Maria,Ruth Canahuire Cabello,0.570900022983551
48,89,Giancarlo Marcone Flores,Romina Perla Yalonetzky Mankevich,0.5708000063896179
75,45,Igor Siveroni Salinas,Cristian Lopez Del Alamo,0.5694000124931335
5,86,Patricia Araujo Pantoja,Rafael Vera Pomalaza,0.5694000124931335
77,0,Enrique Stiglich Labarthe,José Manuel Aguilar Alfaro,0.5677000284194946
57,23,Carolina Parada Quinaya,Alberto Donayre Torres,0.566100001335144
89,91,Romina Perla Yalonetzky Mankevich,Carlos Zorrilla Aranguren,0.5654000043869019
51,21,Monica Cristina Moreno Brush,Jose Gerardo Deustua Rossel,0.5648000240325928
80,9,Jimmy Tarrillo Olano,Jesús Edwin Bellido Angulo,0.5629000067710876
20,91,José Andrés De Leo Martínez,Carlos Zorrilla Aranguren,0.5615000128746033
36,48,Oscar Hidalgo Wuest,Giancarlo Marcone Flores,0.5602999925613403
71,87,Nedher Sanchez Ramirez,Eunice Villicaña Ortiz,0.5594000220298767
51,38,Monica Cristina Moreno Brush,Rocío Hoyos Diaz,0.5580999851226807
44,34,Jose Larco Martinelli,Julio Gutierrez Alva,0.5562000274658203
67,60,Juan Carlos Rodríguez Reyes,Elmer Ramirez Quiroz,0.5543000102043152
72,64,Monica C. Santa-Maria,Pedro Rau Lavado,0.5533999800682068
15,47,Samuel Charca Mamani,José Luis Mantari Laureano,0.5529000163078308
44,0,Jose Larco Martinelli,José Manuel Aguilar Alfaro,0.5519000291824341
88,82,Akira Armando Wong Sato,David Wilfredo Torres Escobar,0.551800012588501
51,11,Monica Cristina Moreno Brush,Juan Bueno Villanueva,0.551800012588501
72,23,Monica C. Santa-Maria,Alberto Donayre Torres,0.5516999959945679
72,6,Monica C. Santa-Maria,Andrés Julián Arias Moreno,0.5501000285148621
57,68,Carolina Parada Quinaya,Ursula Rodriguez Zuñiga,0.5493000149726868
42,55,Enrique Juarez Aquino,Maria Belén Ortiz García,0.5479999780654907
46,51,Milagros Lunga Calderón,Monica Cristina Moreno Brush,0.5473999977111816
44,26,Jose Larco Martinelli,Luis Ernesto Flores Luyo,0.5457000136375427
66,40,Alejandro Rios Cuadros,Dante Inga Narvaez,0.5432000160217285
66,6,Alejandro Rios Cuadros,Andrés Julián Arias Moreno,0.542900025844574
67,2,Juan Carlos Rodríguez Reyes,Helard Alvarez Sanchez,0.5422999858856201
84,42,Elba Rosaura Vazques Arrieta,Enrique Juarez Aquino,0.5404000282287598
62,79,José Ramos Saravia,Francisco Tarazona Vásquez,0.5404000282287598
46,77,Milagros Lunga Calderón,Enrique Stiglich Labarthe,0.5400000214576721
42,26,Enrique Juarez Aquino,Luis Ernesto Flores Luyo,0.5400000214576721
20,67,José Andrés De Leo Martínez,Juan Carlos Rodríguez Reyes,0.5396999716758728
65,81,Jose Renom Andara,Jorge Tipe Villanueva,0.5389000177383423
62,53,José Ramos Saravia,Julien Noel,0.5375000238418579
65,52,Jose Renom Andara,Angel Napa Bernuy,0.5360000133514404
