source_id,target_id,source_name,target_name,relation,key,weight
17,16,Fabien Cornillier,Xyoby Chavez Pacheco,research_area_predicted,w2v_sif_cosine,0.432
48,4,Giancarlo Marcone Flores,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.4306
19,48,Jose De La Puente Maldonado,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.4164
9,76,Jesús Edwin Bellido Angulo,Aurea Rossy Soriano Vargas,research_area_predicted,w2v_sif_cosine,0.3881
62,48,José Ramos Saravia,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.3863
84,48,Elba Rosaura Vazques Arrieta,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.382
62,46,José Ramos Saravia,Milagros Lunga Calderón,research_area_predicted,w2v_sif_cosine,0.348
46,19,Milagros Lunga Calderón,Jose De La Puente Maldonado,research_area_predicted,w2v_sif_cosine,0.346
18,48,Antuané De La Flor Basterrechea,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.3452
19,4,Jose De La Puente Maldonado,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.3262
46,4,Milagros Lunga Calderón,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.3242
65,3,Jose Renom Andara,Claudia Antonini Bova,research_area_predicted,w2v_sif_cosine,0.3213
18,5,Antuané De La Flor Basterrechea,Patricia Araujo Pantoja,research_area_predicted,w2v_sif_cosine,0.3169
44,52,Jose Larco Martinelli,Angel Napa Bernuy,research_area_predicted,w2v_sif_cosine,0.3167
42,4,Enrique Juarez Aquino,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.3159
18,46,Antuané De La Flor Basterrechea,Milagros Lunga Calderón,research_area_predicted,w2v_sif_cosine,0.3123
42,62,Enrique Juarez Aquino,José Ramos Saravia,research_area_predicted,w2v_sif_cosine,0.3048
71,18,Nedher Sanchez Ramirez,Antuané De La Flor Basterrechea,research_area_predicted,w2v_sif_cosine,0.3006
42,48,Enrique Juarez Aquino,Giancarlo Marcone Flores,research_area_predicted,w2v_sif_cosine,0.2999
71,4,Nedher Sanchez Ramirez,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.2788
84,69,Elba Rosaura Vazques Arrieta,Harry Gustavo Saavedra Espinoza,research_area_predicted,w2v_sif_cosine,0.2673
84,50,Elba Rosaura Vazques Arrieta,Rensso Victor Hugo Mora Colque,research_area_predicted,w2v_sif_cosine,0.2669
71,62,Nedher Sanchez Ramirez,José Ramos Saravia,research_area_predicted,w2v_sif_cosine,0.2613
42,46,Enrique Juarez Aquino,Milagros Lunga Calderón,research_area_predicted,w2v_sif_cosine,0.2582
19,77,Jose De La Puente Maldonado,Enrique Stiglich Labarthe,research_area_predicted,w2v_sif_cosine,0.2516
71,50,Nedher Sanchez Ramirez,Rensso Victor Hugo Mora Colque,research_area_predicted,w2v_sif_cosine,0.2487
91,42,Carlos Zorrilla Aranguren,Enrique Juarez Aquino,research_area_predicted,w2v_sif_cosine,0.2367
91,62,Carlos Zorrilla Aranguren,José Ramos Saravia,research_area_predicted,w2v_sif_cosine,0.2229
90,18,Katia Zegarra Sierra,Antuané De La Flor Basterrechea,research_area_predicted,w2v_sif_cosine,0.2202
81,52,Jorge Tipe Villanueva,Angel Napa Bernuy,research_area_predicted,w2v_sif_cosine,0.2193
53,84,Julien Noel,Elba Rosaura Vazques Arrieta,research_area_predicted,w2v_sif_cosine,0.2179
5,46,Patricia Araujo Pantoja,Milagros Lunga Calderón,research_area_predicted,w2v_sif_cosine,0.2158
14,4,Paul Cardenas Lizana,Sergio Aranda Egusquiza,research_area_predicted,w2v_sif_cosine,0.2143
20,22,José Andrés De Leo Martínez,Manuel Arturo Deza Figueroa,research_area_predicted,w2v_sif_cosine,0.2084
47,19,José Luis Mantari Laureano,Jose De La Puente Maldonado,research_area_predicted,w2v_sif_cosine,0.2065
77,46,Enrique Stiglich Labarthe,Milagros Lunga Calderón,research_area_predicted,w2v_sif_cosine,0.203
90,71,Katia Zegarra Sierra,Nedher Sanchez Ramirez,research_area_predicted,w2v_sif_cosine,0.2023
27,42,Christian Flores Vega,Enrique Juarez Aquino,research_area_predicted,w2v_sif_cosine,0.2013
14,42,Paul Cardenas Lizana,Enrique Juarez Aquino,research_area_predicted,w2v_sif_cosine,0.1961
14,19,Paul Cardenas Lizana,Jose De La Puente Maldonado,research_area_predicted,w2v_sif_cosine,0.1926
79,27,Francisco Tarazona Vásquez,Christian Flores Vega,research_area_predicted,w2v_sif_cosine,0.1921
